央视节目,#genre#
CCTV中学生,http://106.59.2.162:55555/udp/239.200.200.136:8060
CETV1,http://106.59.2.162:55555/udp/239.200.201.49:8756
CETV1,http://125.70.183.105:8123/udp/239.93.1.111:5140
CETV1,http://61.188.85.118:8001/udp/239.93.1.111:5140
CETV1,http://61.188.85.163:8001/udp/239.93.1.111:5140
CETV2,http://125.70.183.105:8123/udp/239.93.0.113:5140
CETV2,http://61.188.85.118:8001/udp/239.93.0.113:5140
CETV2,http://61.188.85.163:8001/udp/239.93.0.113:5140
CETV4,http://106.59.2.162:55555/udp/239.200.201.122:8784
CETV4,http://125.70.183.105:8123/udp/239.93.0.50:5140
CETV4,http://61.188.85.118:8001/udp/239.93.0.50:5140
CETV4,http://61.188.85.163:8001/udp/239.93.0.50:5140
卫视节目,#genre#
安徽卫视,http://106.59.2.162:55555/udp/239.200.200.129:8720
安徽卫视,http://113.248.110.83:8181/udp/235.254.198.20:1356
安徽卫视,http://113.248.110.83:8181/udp/235.254.198.65:1536
安徽卫视,http://113.249.227.18:8000/udp/235.254.198.20:1356
安徽卫视,http://113.249.227.18:8000/udp/235.254.198.65:1536
安徽卫视,http://119.39.79.108:4022/udp/228.1.1.30:6030
安徽卫视,http://119.86.72.213:4022/udp/235.254.198.20:1356
安徽卫视,http://119.86.72.213:4022/udp/235.254.198.65:1536
安徽卫视,http://125.70.183.105:8123/udp/239.93.1.106:5140
安徽卫视,http://61.188.85.118:8001/udp/239.93.1.106:5140
安徽卫视,http://61.188.85.163:8001/udp/239.93.1.106:5140
安徽卫视[576*324],http://125.70.183.105:8123/udp/239.93.0.75:5140
安徽卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.166:5140
安徽卫视[576*324],http://61.188.85.118:8001/udp/239.93.0.75:5140
安徽卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.166:5140
安徽卫视[576*324],http://61.188.85.163:8001/udp/239.93.0.75:5140
安徽卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.166:5140
北京卫视,http://113.248.110.83:8181/udp/235.254.198.21:1360
北京卫视,http://113.248.110.83:8181/udp/235.254.198.66:1540
北京卫视,http://113.249.227.18:8000/udp/235.254.198.21:1360
北京卫视,http://113.249.227.18:8000/udp/235.254.198.66:1540
北京卫视,http://119.39.79.108:4022/udp/228.1.1.23:6023
北京卫视,http://119.86.72.213:4022/udp/235.254.198.21:1360
北京卫视,http://119.86.72.213:4022/udp/235.254.198.66:1540
北京卫视,http://125.70.183.105:8123/udp/239.93.0.180:5140
北京卫视,http://61.188.85.118:8001/udp/239.93.0.180:5140
北京卫视,http://61.188.85.163:8001/udp/239.93.0.180:5140
北京卫视[576*324],http://125.70.183.105:8123/udp/239.93.0.71:5140
北京卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.66:5140
北京卫视[576*324],http://125.70.183.105:8123/udp/239.93.1.83:5140
北京卫视[576*324],http://61.188.85.118:8001/udp/239.93.0.71:5140
北京卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.66:5140
北京卫视[576*324],http://61.188.85.118:8001/udp/239.93.1.83:5140
北京卫视[576*324],http://61.188.85.163:8001/udp/239.93.0.71:5140
北京卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.66:5140
北京卫视[576*324],http://61.188.85.163:8001/udp/239.93.1.83:5140
兵团卫视,http://119.39.79.108:4022/udp/228.1.1.62:6062
兵团卫视[785*576],http://125.70.183.105:8123/udp/239.93.42.43:5140
兵团卫视[785*576],http://61.188.85.118:8001/udp/239.93.42.43:5140
兵团卫视[785*576],http://61.188.85.163:8001/udp/239.93.42.43:5140
东方卫视,http://113.248.110.83:8181/udp/235.254.198.33:1408
东方卫视,http://113.248.110.83:8181/udp/235.254.198.73:1568
东方卫视,http://113.249.227.18:8000/udp/235.254.198.33:1408
东方卫视,http://113.249.227.18:8000/udp/235.254.198.73:1568
东方卫视,http://119.86.72.213:4022/udp/235.254.198.33:1408
东方卫视,http://119.86.72.213:4022/udp/235.254.198.73:1568
东方卫视,http://125.70.183.105:8123/udp/239.93.0.123:5140
